市,x,y
安庆市,116.486,30.576
蚌埠市,117.325,33.109
亳州市,116.180,33.436
池州市,117.364,30.283
滁州市,118.102,32.544
阜阳市,115.704,32.917
合肥市,117.355,31.763
淮北市,116.743,33.728
淮南市,116.768,32.473
黄山市,118.071,29.907
六安市,116.229,31.659
马鞍山市,118.365,31.639
宿州市,117.210,33.860
铜陵市,117.556,30.885
芜湖市,118.135,31.162
宣城市,118.852,30.686
澳门特别行政区,113.562,22.163
北京市,116.413,40.186
福州市,119.202,26.048
龙岩市,116.739,25.293
南平市,118.142,27.339
宁德市,119.491,26.971
莆田市,118.901,25.443
泉州市,118.265,25.193
三明市,117.396,26.299
厦门市,118.120,24.662
漳州市,117.454,24.332
白银市,104.622,36.614
定西市,104.453,35.120
甘南藏族自治州,102.765,34.322
嘉峪关市,98.211,39.828
金昌市,102.043,38.432
酒泉市,96.056,40.260
兰州市,103.638,36.355
临夏回族自治州,103.287,35.624
陇南市,105.222,33.597
平凉市,106.648,35.306
庆阳市,107.591,36.162
天水市,105.738,34.647
武威市,103.057,38.176
张掖市,99.823,38.956
潮州市,116.786,23.786
东莞市,113.875,22.935
佛山市,112.944,23.007
广州市,113.539,23.331
河源市,114.958,24.045
惠州市,114.503,23.235
江门市,112.673,22.267
揭阳市,116.120,23.336
茂名市,110.953,22.010
梅州市,116.079,24.203
清远市,112.875,24.314
汕头市,116.596,23.330
汕尾市,115.589,22.875
韶关市,113.775,24.820
深圳市,114.137,22.645
阳江市,111.775,22.028
云浮市,111.794,22.816
湛江市,110.165,21.075
肇庆市,112.205,23.538
中山市,113.394,22.520
珠海市,113.362,22.152
百色市,106.288,23.985
北海市,109.338,21.662
崇左市,107.274,22.503
防城港市,108.013,21.872
贵港市,109.998,23.309
桂林市,110.513,25.355
河池市,107.842,24.643
贺州市,111.361,24.360
来宾市,109.412,23.854
柳州市,109.371,24.947
南宁市,108.464,23.057
钦州市,109.016,22.174
梧州市,110.990,23.481
玉林市,110.182,22.442
安顺市,105.949,25.996
毕节市,105.215,27.067
贵阳市,106.707,26.843
六盘水市,104.891,26.136
黔东南苗族侗族自治州,108.558,26.506
黔南布依族苗族自治州,107.250,26.014
黔西南布依族苗族自治州,105.464,25.265
铜仁市,108.542,27.971
遵义市,107.085,28.169
白沙黎族自治县,109.348,19.211
保亭黎族苗族自治县,109.647,18.591
昌江黎族自治县,108.990,19.227
澄迈县,109.986,19.702
儋州市,109.386,19.582
定安县,110.309,19.485
东方市,108.815,18.998
海口市,110.419,19.854
乐东黎族自治县,109.026,18.641
临高县,109.711,19.812
陵水黎族自治县,109.947,18.551
琼海市,110.418,19.212
琼中黎族苗族自治县,109.850,19.036
三沙市,113.675,9.826
三亚市,109.418,18.364
屯昌县,110.052,19.344
