name,code,prov
德州市,1,山东省
文昌市,2,海南省
昆明市,3,云南省
吐鲁番市,4,新疆维吾尔自治区
衡阳市,5,湖南省
温州市,6,浙江省
包头市,7,内蒙古自治区
揭阳市,8,广东省
台北市,9,港澳台
阜新市,10,辽宁省
信阳市,11,河南省
白山市,12,吉林省
和田地区,13,新疆维吾尔自治区
无锡市,14,江苏省
台州市,15,浙江省
雅安市,16,四川省
新竹市,17,港澳台
屯昌县,18,海南省
临夏回族自治州,19,甘肃省
西双版纳傣族自治州,20,云南省
石嘴山市,21,宁夏回族自治区
抚顺市,22,辽宁省
白沙黎族自治县,23,海南省
韶关市,24,广东省
芜湖市,25,安徽省
玉林市,26,广西壮族自治区
迪庆藏族自治州,27,云南省
日喀则市,28,西藏自治区
鹤壁市,29,河南省
清远市,30,广东省
大理白族自治州,31,云南省
洛阳市,32,河南省
东莞市,33,广东省
漳州市,34,福建省
三亚市,35,海南省
遂宁市,36,四川省
安康市,37,陕西省
江门市,38,广东省
甘南藏族自治州,39,甘肃省
徐州市,40,江苏省
呼伦贝尔市,41,内蒙古自治区
五指山市,42,海南省
莆田市,43,福建省
咸阳市,44,陕西省
渭南市,45,陕西省
厦门市,46,福建省
绥化市,47,黑龙江省
大连市,48,辽宁省
景德镇市,49,江西省
晋中市,50,山西省
南平市,51,福建省
广元市,52,四川省
阿里地区,53,西藏自治区
商洛市,54,陕西省
海口市,55,海南省
克孜勒苏柯尔克孜自治州,56,新疆维吾尔自治区
焦作市,57,河南省
鹤岗市,58,黑龙江省
乌海市,59,内蒙古自治区
鹰潭市,60,江西省
聊城市,61,山东省
武汉市,62,湖北省
运城市,63,山西省
黔南布依族苗族自治州,64,贵州省
宜春市,65,江西省
贺州市,66,广西壮族自治区
黑河市,67,黑龙江省
昌江黎族自治县,68,海南省
济源市,69,河南省
池州市,70,安徽省
山南市,71,西藏自治区
乌兰察布市,72,内蒙古自治区
廊坊市,73,河北省
毕节市,74,贵州省
铁门关市,75,新疆维吾尔自治区
滁州市,76,安徽省
大同市,77,山西省
朝阳市,78,辽宁省
天水市,79,甘肃省
衢州市,80,浙江省
宜昌市,81,湖北省
佛山市,82,广东省
塔城地区,83,新疆维吾尔自治区
丽江市,84,云南省
梅州市,85,广东省
