STATEFP,COUNTYFP,NAME,GEOID
21,7,Ballard,37140
21,17,Bourbon,30460
21,31,Butler,14540
21,65,Estill,40080
21,93,Hardin,21060
21,151,Madison,40080
21,179,Nelson,12680
17,91,Kankakee,28100
17,197,Will,16980
18,27,Daviess,47780
18,61,Harrison,31140
1,1,Autauga,33860
1,5,Barbour,21640
1,51,Elmore,33860
1,55,Etowah,23460
1,65,Hale,46220
1,89,Madison,26620
1,113,Russell,17980
1,117,Shelby,13820
5,19,Clark,11660
5,25,Cleveland,38220
5,63,Independence,12900
6,1,Alameda,41860
6,13,Contra Costa,41860
6,19,Fresno,23420
6,23,Humboldt,21700
6,33,Lake,17340
6,37,Los Angeles,31080
6,47,Merced,32900
6,57,Nevada,46020
6,81,San Mateo,41860
6,85,Santa Clara,41940
6,115,Yuba,49700
8,13,Boulder,14500
8,77,Mesa,24300
8,91,Ouray,33940
9,9,New Haven,35300
11,1,District of Columbia,47900
12,9,Brevard,37340
12,23,Columbia,29380
12,39,Gadsden,45220
12,55,Highlands,42700
12,65,Jefferson,45220
12,73,Leon,45220
12,95,Orange,36740
12,107,Putnam,37260
12,127,Volusia,19660
12,131,Walton,18880
13,9,Baldwin,33300
13,27,Brooks,46660
13,103,Effingham,42340
13,121,Fulton,12060
13,141,Hancock,33300
13,149,Heard,12060
13,179,Liberty,25980
13,183,Long,25980
13,189,McDuffie,12260
13,209,Montgomery,47080
13,229,Pierce,48180
13,305,Wayne,27700
16,15,Boise,14260
16,23,Butte,26820
16,25,Camas,25200
16,27,Canyon,14260
16,39,Elmore,34300
16,43,Fremont,39940
48,11,Armstrong,11100
48,25,Bee,13300
48,55,Caldwell,12420
29,189,St. Louis,41180
30,29,Flathead,28060
53,65,Stevens,44060
21,217,Taylor,15820
21,239,Woodford,30460
22,1,Acadia,29180
22,11,Beauregard,19760
22,29,Concordia,35020
22,31,De Soto,43340
22,33,East Baton Rouge,12940
22,47,Iberville,12940
22,71,Orleans,35380
22,99,St. Martin,29180
22,119,Webster,33380
24,3,Anne Arundel,12580
18,103,Miami,37940
18,129,Posey,21780
19,45,Clinton,17540
19,111,Lee,22800
31,167,Stanton,35740
34,3,Bergen,35620
34,7,Camden,37980
34,13,Essex,35620
34,23,Middlesex,35620
34,41,Warren,10900
36,13,Chautauqua,27460
36,29,Erie,15380
36,43,Herkimer,46540
36,45,Jefferson,48060
36,47,Kings,35620
36,53,Madison,45060
36,65,Oneida,46540
36,77,Otsego,36580
36,81,Queens,35620
36,91,Saratoga,10580
36,115,Washington,24020
37,7,Anson,16740
37,27,Caldwell,25860
37,49,Craven,35100
37,55,Dare,28620
37,59,Davie,49180
37,69,Franklin,39580
37,83,Halifax,40260
37,93,Hoke,22180
37,99,Jackson,19000
37,111,McDowell,32000
37,127,Nash,40580
37,165,Scotland,29900
37,175,Transylvania,14820
38,17,Cass,22020
39,35,Cuyahoga,17460
39,39,Defiance,19580
39,43,Erie,41780
40,65,Jackson,11060
48,141,El Paso,21340
48,167,Galveston,26420
48,199,Hardin,13140
48,213,Henderson,11980
48,229,Hudspeth,21340
48,245,Jefferson,13140
