GEOID,State,Name
49820,TX,Zapata
49780,OH,Zanesville
49740,AZ,Yuma
49700,CA,Yuba City
49660,OH,Youngstown-Warren-Boardman
49620,PA,York-Hanover
49460,SD,Yankton
49420,WA,Yakima
49380,MN,Worthington
49340,MA,Worcester
49300,OH,Wooster
49260,OK,Woodward
49220,WI,Wisconsin Rapids-Marshfield
49180,NC,Winston-Salem
49100,MN,Winona
49080,NV,Winnemucca
49060,KS,Winfield
49020,VA,Winchester
48980,NC,Wilson
48940,OH,Wilmington
48900,NC,Wilmington
48820,MN,Willmar
48780,ND,Williston
48700,PA,Williamsport
48660,TX,Wichita Falls
48620,KS,Wichita
48580,WI,Whitewater
48540,WV,Wheeling
48500,MS,West Point
48460,MO,West Plains
48300,WA,Wenatchee
48260,WV,Weirton-Steubenville
48220,OK,Weatherford
48180,GA,Waycross
48140,WI,Wausau-Weston
48100,FL,Wauchula
48060,NY,Watertown-Fort Drum
48020,WI,Watertown-Fort Atkinson
47980,SD,Watertown
47940,IA,Waterloo-Cedar Falls
47920,OH,Washington Court House
47900,DC,Washington-Arlington-Alexandria
47820,NC,Washington
47780,IN,Washington
47700,IN,Warsaw
47660,MO,Warrensburg
47620,PA,Warren
47580,GA,Warner Robins
47540,OH,Wapakoneta
47460,WA,Walla Walla
47420,ND,Wahpeton
47380,TX,Waco
47340,IN,Wabash
47300,CA,Visalia
47260,VA,Virginia Beach-Norfolk-Newport News
47240,MA,Vineyard Haven
47220,NJ,Vineland-Bridgeton
47180,IN,Vincennes
47080,GA,Vidalia
47020,TX,Victoria
46980,MS,Vicksburg
46900,TX,Vernon
46860,UT,Vernal
46820,SD,Vermillion
46780,OH,Van Wert
46700,CA,Vallejo
46660,GA,Valdosta
46620,TX,Uvalde
46540,NY,Utica-Rome
46500,OH,Urbana
46460,TN,Union City
46420,SC,Union
46380,CA,Ukiah
46340,TX,Tyler
46300,ID,Twin Falls
46220,AL,Tuscaloosa
46180,MS,Tupelo
46140,OK,Tulsa
46100,TN,Tullahoma-Manchester
46060,AZ,Tucson
46020,CA,Truckee-Grass Valley
45980,AL,Troy
45940,NJ,Trenton-Princeton
45900,MI,Traverse City
45860,CT,Torrington
45820,KS,Topeka
45780,OH,Toledo
45740,GA,Toccoa
45700,GA,Tifton
45660,OH,Tiffin
45620,GA,Thomasville
45580,GA,Thomaston
45540,FL,The Villages
45520,OR,The Dalles
45500,TX,Texarkana
45460,IN,Terre Haute
45380,IL,Taylorville
45340,NM,Taos
45300,FL,Tampa-St. Petersburg-Clearwater
45220,FL,Tallahassee
45180,AL,Talladega-Sylacauga
45140,OK,Tahlequah
45060,NY,Syracuse
45020,TX,Sweetwater
45000,CA,Susanville
44980,PA,Sunbury
44940,SC,Sumter
44900,GA,Summerville
44860,TX,Sulphur Springs
44780,MI,Sturgis
44740,IA,Storm Lake
44700,CA,Stockton
44660,OK,Stillwater
44620,WI,Stevens Point
44580,IL,Sterling
44540,CO,Sterling
44500,TX,Stephenville
44460,CO,Steamboat Springs
44420,VA,Staunton
44340,GA,Statesboro
44300,PA,State College
44260,MS,Starkville
44220,OH,Springfield
44180,MO,Springfield
44140,MA,Springfield
44100,IL,Springfield
44060,WA,Spokane-Spokane Valley
44020,IA,Spirit Lake
43980,IA,Spencer
43940,SD,Spearfish
43900,SC,Spartanburg
43780,IN,South Bend-Mishawaka
43760,CA,Sonora
43740,PA,Somerset
43700,KY,Somerset
43660,TX,Snyder
43620,SD,Sioux Falls
43580,IA,Sioux City
43500,NM,Silver City
43460,MO,Sikeston
43420,AZ,Sierra Vista-Douglas
43380,OH,Sidney
43340,LA,Shreveport-Bossier City
43320,AZ,Show Low
43300,TX,Sherman-Denison
43260,WY,Sheridan
43220,WA,Shelton
43180,TN,Shelbyville
43140,NC,Shelby
43100,WI,Sheboygan
43060,OK,Shawnee
43020,WI,Shawano
42980,IN,Seymour
42940,TN,Sevierville
42900,NY,Seneca Falls
42860,SC,Seneca
42820,AL,Selma
42780,PA,Selinsgrove
42740,MO,Sedalia
42700,FL,Sebring-Avon Park
42680,FL,Sebastian-Vero Beach
42660,WA,Seattle-Tacoma-Bellevue
42620,AR,Searcy
42540,PA,Scranton--Wilkes-Barre
42500,IN,Scottsburg
42460,AL,Scottsboro
42420,NE,Scottsbluff
42380,PA,Sayre
42340,GA,Savannah
42300,MI,Sault Ste. Marie
42220,CA,Santa Rosa-Petaluma
42200,CA,Santa Maria-Santa Barbara
42140,NM,Santa Fe
42100,CA,Santa Cruz-Watsonville
42020,CA,San Luis Obispo-Paso Robles
41940,CA,San Jose-Sunnyvale-Santa Clara
41860,CA,San Francisco-Oakland-Berkeley
41820,NC,Sanford
41780,OH,Sandusky
41760,ID,Sandpoint
41740,CA,San Diego-Chula Vista-Carlsbad
41700,TX,San Antonio-New Braunfels
41660,TX,San Angelo
41620,UT,Salt Lake City
41540,MD,Salisbury
41500,CA,Salinas
41460,KS,Salina
41420,OR,Salem
41400,OH,Salem
41260,PA,St. Marys
41220,GA,St. Marys
41180,MO,St. Louis
41140,MO,St. Joseph
41100,UT,St. George
41060,MN,St. Cloud
40980,MI,Saginaw
40940,AZ,Safford
40900,CA,Sacramento-Roseville-Folsom
40860,VT,Rutland
40820,LA,Ruston
40780,AR,Russellville
40760,NM,Ruidoso
40740,NM,Roswell
40700,OR,Roseburg
40660,GA,Rome
40620,MO,Rolla
40580,NC,Rocky Mount
40540,WY,Rock Springs
40530,TX,Rockport
40460,NC,Rockingham
40420,IL,Rockford
40380,NY,Rochester
40340,MN,Rochester
40300,IL,Rochelle
40260,NC,Roanoke Rapids
40220,VA,Roanoke
40180,WY,Riverton
40140,CA,Riverside-San Bernardino-Ontario
40100,TX,Rio Grande City-Roma
40080,KY,Richmond-Berea
40060,VA,Richmond
39980,IN,Richmond
39940,ID,Rexburg
39900,NV,Reno
39860,MN,Red Wing
39820,CA,Redding
39780,CA,Red Bluff
39740,PA,Reading
39700,TX,Raymondville
39660,SD,Rapid City
39580,NC,Raleigh-Cary
39540,WI,Racine
39500,IL,Quincy
39460,FL,Punta Gorda
39420,WA,Pullman
39380,CO,Pueblo
39340,UT,Provo-Orem
39300,RI,Providence-Warwick
39260,OR,Prineville
39220,UT,Price
39150,AZ,Prescott Valley-Prescott
39100,NY,Poughkeepsie-Newburgh-Middletown
39060,PA,Pottsville
39020,OH,Portsmouth
38940,FL,Port St. Lucie
38920,TX,Port Lavaca
38900,OR,Portland-Vancouver-Hillsboro
38860,ME,Portland-South Portland
