GEOID,NAME,LSAD,lat,lon
37620,"Parkersburg-Vienna, WV",M1,39.139,-81.463
49020,"Winchester, VA-WV",M1,39.272,-78.474
25060,"Gulfport-Biloxi, MS",M1,30.204,-88.456
25060,"Gulfport-Biloxi, MS",M1,30.334,-88.576
25060,"Gulfport-Biloxi, MS",M1,30.238,-88.685
25060,"Gulfport-Biloxi, MS",M1,30.373,-88.842
25060,"Gulfport-Biloxi, MS",M1,30.238,-88.887
25060,"Gulfport-Biloxi, MS",M1,30.21,-88.967
25060,"Gulfport-Biloxi, MS",M1,30.226,-89.099
25060,"Gulfport-Biloxi, MS",M1,30.558,-89.039
21660,"Eugene-Springfield, OR",M1,43.939,-122.847
25500,"Harrisonburg, VA",M1,38.511,-78.876
35100,"New Bern, NC",M1,35.098,-77.091
42660,"Seattle-Tacoma-Bellevue, WA",M1,48.013,-122.32
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.412,-122.473
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.157,-122.634
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.248,-122.626
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.564,-121.828
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.21,-122.684
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.158,-122.704
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.318,-122.693
42660,"Seattle-Tacoma-Bellevue, WA",M1,47.264,-122.835
49420,"Yakima, WA",M1,46.457,-120.738
44060,"Spokane-Spokane Valley, WA",M1,48.081,-117.671
41620,"Salt Lake City, UT",M1,40.471,-113.011
49700,"Yuba City, CA",M1,39.155,-121.518
15380,"Buffalo-Cheektowaga, NY",M1,42.911,-78.737
44940,"Sumter, SC",M1,33.79,-80.299
48300,"Wenatchee, WA",M1,47.818,-120.266
23420,"Fresno, CA",M1,36.758,-119.649
31460,"Madera, CA",M1,37.218,-119.763
29460,"Lakeland-Winter Haven, FL",M1,27.949,-81.698
27340,"Jacksonville, NC",M1,34.636,-77.139
27340,"Jacksonville, NC",M1,34.609,-77.206
27340,"Jacksonville, NC",M1,34.732,-77.433
17420,"Cleveland, TN",M1,35.135,-84.667
39150,"Prescott Valley-Prescott, AZ",M1,34.6,-112.554
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",M1,33.987,-78.664
17020,"Chico, CA",M1,39.667,-121.601
19460,"Decatur, AL",M1,34.491,-87.103
32900,"Merced, CA",M1,37.192,-120.718
47300,"Visalia, CA",M1,36.22,-118.8
33780,"Monroe, MI",M1,41.929,-83.537
33700,"Modesto, CA",M1,37.559,-120.998
44300,"State College, PA",M1,40.919,-77.82
31860,"Mankato, MN",M1,44.154,-94.136
20100,"Dover, DE",M1,39.086,-75.568
24300,"Grand Junction, CO",M1,39.018,-108.466
42100,"Santa Cruz-Watsonville, CA",M1,37.056,-122.002
23460,"Gadsden, AL",M1,34.045,-86.035
36500,"Olympia-Lacey-Tumwater, WA",M1,46.926,-122.833
15180,"Brownsville-Harlingen, TX",M1,26.247,-97.192
15180,"Brownsville-Harlingen, TX",M1,26.372,-97.251
15180,"Brownsville-Harlingen, TX",M1,26.132,-97.522
12100,"Atlantic City-Hammonton, NJ",M1,39.478,-74.661
42020,"San Luis Obispo-Paso Robles, CA",M1,35.387,-120.405
45940,"Trenton-Princeton, NJ",M1,40.283,-74.702
28420,"Kennewick-Richland, WA",M1,46.363,-119.254
13460,"Bend, OR",M1,43.915,-121.228
39660,"Rapid City, SD",M1,44.318,-102.764
20940,"El Centro, CA",M1,33.04,-115.365
38300,"Pittsburgh, PA",M1,40.439,-79.831
17460,"Cleveland-Elyria, OH",M1,41.375,-81.684
13980,"Blacksburg-Christiansburg, VA",M1,37.187,-80.592
48660,"Wichita Falls, TX",M1,33.775,-98.491
29340,"Lake Charles, LA",M1,30.017,-93.26
