GEOID,NAME,LSAD
"37620","Parkersburg-Vienna, WV",M1
"45980","Troy, AL",M2
"49020","Winchester, VA-WV",M1
"45180","Talladega-Sylacauga, AL",M2
"25060","Gulfport-Biloxi, MS",M1
"17220","Clarksburg, WV",M2
"21660","Eugene-Springfield, OR",M1
"25500","Harrisonburg, VA",M1
"21260","Ellensburg, WA",M2
"35100","New Bern, NC",M1
"20060","Douglas, GA",M2
"14180","Blytheville, AR",M2
"42660","Seattle-Tacoma-Bellevue, WA",M1
"49420","Yakima, WA",M1
"11980","Athens, TX",M2
"29500","Lamesa, TX",M2
"44060","Spokane-Spokane Valley, WA",M1
"14140","Bluefield, WV-VA",M2
"41620","Salt Lake City, UT",M1
"47180","Vincennes, IN",M2
"21220","Elko, NV",M2
"18980","Cullman, AL",M2
"25760","Helena-West Helena, AR",M2
"49700","Yuba City, CA",M1
"15380","Buffalo-Cheektowaga, NY",M1
"11060","Altus, OK",M2
"42820","Selma, AL",M2
"37540","Paris, TN",M2
"48180","Waycross, GA",M2
"21700","Eureka-Arcata, CA",M2
"44940","Sumter, SC",M1
"44460","Steamboat Springs, CO",M2
"27020","Iron Mountain, MI-WI",M2
"37740","Payson, AZ",M2
"48300","Wenatchee, WA",M1
"37260","Palatka, FL",M2
"33180","Middlesborough, KY",M2
"18620","Corsicana, TX",M2
"23420","Fresno, CA",M1
"18900","Crossville, TN",M2
"35460","Newport, TN",M2
"31460","Madera, CA",M1
"28860","Kirksville, MO",M2
"39780","Red Bluff, CA",M2
"19420","Dayton, TN",M2
"29460","Lakeland-Winter Haven, FL",M1
"27340","Jacksonville, NC",M1
"42620","Searcy, AR",M2
"17420","Cleveland, TN",M1
"46020","Truckee-Grass Valley, CA",M2
"39150","Prescott Valley-Prescott, AZ",M1
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",M1
"17020","Chico, CA",M1
"13060","Bay City, TX",M2
"19460","Decatur, AL",M1
"32900","Merced, CA",M1
"32000","Marion, NC",M2
"34460","Mount Sterling, KY",M2
"47300","Visalia, CA",M1
"33780","Monroe, MI",M1
"47780","Washington, IN",M2
"33700","Modesto, CA",M1
"20460","Durant, OK",M2
"42940","Sevierville, TN",M2
"39220","Price, UT",M2
"44300","State College, PA",M1
"34020","Morgan City, LA",M2
"31860","Mankato, MN",M1
"17340","Clearlake, CA",M2
"20100","Dover, DE",M1
"24300","Grand Junction, CO",M1
"42100","Santa Cruz-Watsonville, CA",M1
"34380","Mount Pleasant, MI",M2
"23460","Gadsden, AL",M1
"23860","Georgetown, SC",M2
"19760","DeRidder, LA",M2
"12680","Bardstown, KY",M2
"37300","Palestine, TX",M2
"36500","Olympia-Lacey-Tumwater, WA",M1
"15180","Brownsville-Harlingen, TX",M1
"28620","Kill Devil Hills, NC",M2
"12100","Atlantic City-Hammonton, NJ",M1
"42020","San Luis Obispo-Paso Robles, CA",M1
"45940","Trenton-Princeton, NJ",M1
"13700","Big Spring, TX",M2
"37140","Paducah, KY-IL",M2
"29900","Laurinburg, NC",M2
"21640","Eufaula, AL-GA",M2
"28420","Kennewick-Richland, WA",M1
"13460","Bend, OR",M1
"39660","Rapid City, SD",M1
"20940","El Centro, CA",M1
"28380","Kennett, MO",M2
"12660","Baraboo, WI",M2
"38300","Pittsburgh, PA",M1
"17460","Cleveland-Elyria, OH",M1
"13980","Blacksburg-Christiansburg, VA",M1
"38920","Port Lavaca, TX",M2
"48660","Wichita Falls, TX",M1
"29340","Lake Charles, LA",M1
"15260","Brunswick, GA",M1
"26820","Idaho Falls, ID",M1
"41140","St. Joseph, MO-KS",M1
"36420","Oklahoma City, OK",M1
"32100","Marquette, MI",M2
"10500","Albany, GA",M1
"41540","Salisbury, MD-DE",M1
"41180","St. Louis, MO-IL",M1
"17780","College Station-Bryan, TX",M1
"11820","Astoria, OR",M2
"12900","Batesville, AR",M2
"20420","Durango, CO",M2
"28740","Kingston, NY",M1
"40060","Richmond, VA",M1
"22520","Florence-Muscle Shoals, AL",M1
"40900","Sacramento-Roseville-Folsom, CA",M1
"16620","Charleston, WV",M1
"43180","Shelbyville, TN",M2
"19340","Davenport-Moline-Rock Island, IA-IL",M1
"30100","Lebanon, NH-VT",M2
"31340","Lynchburg, VA",M1
"49740","Yuma, AZ",M1
"42700","Sebring-Avon Park, FL",M1
"26140","Homosassa Springs, FL",M1
"27540","Jasper, IN",M2
"34780","Muskogee, OK",M2
"26420","Houston-The Woodlands-Sugar Land, TX",M1
"37900","Peoria, IL",M1
"20180","DuBois, PA",M2
"33660","Mobile, AL",M1
"47820","Washington, NC",M2
"26860","Indiana, PA",M2
"32820","Memphis, TN-MS-AR",M1
"41740","San Diego-Chula Vista-Carlsbad, CA",M1
"22180","Fayetteville, NC",M1
"27220","Jackson, WY-ID",M2
"38540","Pocatello, ID",M1
"44860","Sulphur Springs, TX",M2
"20780","Edwards, CO",M2
"24940","Greenwood, SC",M2
"34060","Morgantown, WV",M1
"33340","Milwaukee-Waukesha, WI",M1
"40530","Rockport, TX",M2
"45340","Taos, NM",M2
"29180","Lafayette, LA",M1
"33300","Milledgeville, GA",M2
"39820","Redding, CA",M1
"20900","El Campo, TX",M2
"26620","Huntsville, AL",M1
"36140","Ocean City, NJ",M1
"44100","Springfield, IL",M1
"46980","Vicksburg, MS",M2
"10740","Albuquerque, NM",M1
"10540","Albany-Lebanon, OR",M1
"20580","Eagle Pass, TX",M2
"47240","Vineyard Haven, MA",M2
"33860","Montgomery, AL",M1
"24860","Greenville-Anderson, SC",M1
"19000","Cullowhee, NC",M2
