Population,Name
172060,Abilene
289289,Aguadilla-Isabela
703479,Akron
146726,Albany
129749,Albany-Lebanon
880381,Albany-Schenectady-Troy
918018,Albuquerque
152037,Alexandria
844052,Allentown-Bethlehem-Easton
121829,Altoona
265053,Amarillo
123351,Ames
396317,Anchorage
367601,Ann Arbor
113605,Anniston-Oxford
237974,Appleton
174606,Arecibo
462680,Asheville
213750,Athens-Clarke County
6020364,Atlanta-Sandy Springs-Alpharetta
263670,Atlantic City-Hammonton
164542,Auburn-Opelika
608980,Augusta-Richmond County
2227083,Austin-Round Rock-Georgetown
900202,Bakersfield
2800053,Baltimore-Columbia-Towson
152148,Bangor
212990,Barnstable Town
854884,Baton Rouge
134159,Battle Creek
103126,Bay City
392563,Beaumont-Port Arthur
115767,Beckley
229247,Bellingham
197692,Bend
181667,Billings
238691,Binghamton
1090435,Birmingham-Hoover
128949,Bismarck
167531,Blacksburg-Christiansburg
171517,Bloomington
169230,Bloomington
83194,Bloomsburg-Berwick
749202,Boise City
4873019,Boston-Cambridge-Newton
326196,Boulder
179240,Bowling Green
271473,Bremerton-Silverdale-Port Orchard
943332,Bridgeport-Stamford-Norwalk
423163,Brownsville-Harlingen
118779,Brunswick
1127983,Buffalo-Cheektowaga
169509,Burlington
220411,Burlington-South Burlington
113510,California-Lexington Park
397520,Canton-Massillon
770577,Cape Coral-Fort Myers
96765,Cape Girardeau
135764,Carbondale-Marion
55916,Carson City
79858,Casper
273032,Cedar Rapids
155027,Chambersburg-Waynesboro
226033,Champaign-Urbana
257074,Charleston
802122,Charleston-North Charleston
2636883,Charlotte-Concord-Gastonia
218615,Charlottesville
565194,Chattanooga
99500,Cheyenne
9458539,Chicago-Naperville-Elgin
219186,Chico
2221208,Cincinnati
307820,Clarksville
124942,Cleveland
2048449,Cleveland-Elyria
165697,Coeur d'Alene
264728,College Station-Bryan
745791,Colorado Springs
208173,Columbia
838433,Columbia
321048,Columbus
83779,Columbus
2122271,Columbus
429024,Corpus Christi
93053,Corvallis
284809,Crestview-Fort Walton Beach-Destin
97284,Cumberland
7573136,Dallas-Fort Worth-Arlington
144724,Dalton
75758,Danville
223234,Daphne-Fairhope-Foley
379172,Davenport-Moline-Rock Island
807611,Dayton-Kettering
152603,Decatur
104009,Decatur
668365,Deltona-Daytona Beach-Ormond Beach
2967239,Denver-Aurora-Lakewood
699292,Des Moines-West Des Moines
4319629,Detroit-Warren-Dearborn
149358,Dothan
180786,Dover
97311,Dubuque
288732,Duluth
644367,Durham-Chapel Hill
170271,East Stroudsburg
169304,Eau Claire
181215,El Centro
153928,Elizabethtown-Fort Knox
206341,Elkhart-Goshen
83456,Elmira
844124,El Paso
61056,Enid
269728,Erie
382067,Eugene-Springfield
315086,Evansville
96849,Fairbanks
246145,Fargo
123958,Farmington
526719,Fayetteville
534904,Fayetteville-Springdale-Rogers
143476,Flagstaff
405813,Flint
204911,Florence
147970,Florence-Muscle Shoals
103403,Fond du Lac
356899,Fort Collins
250368,Fort Smith
413263,Fort Wayne
999101,Fresno
102268,Gadsden
329128,Gainesville
204441,Gainesville
103009,Gettysburg
125148,Glens Falls
123131,Goldsboro
100815,Grand Forks
75553,Grand Island
154210,Grand Junction
1077370,Grand Rapids-Kentwood
87487,Grants Pass
81366,Great Falls
324492,Greeley
322906,Green Bay
771851,Greensboro-High Point
180742,Greenville
920477,Greenville-Anderson
72914,Guayama
417665,Gulfport-Biloxi
288104,Hagerstown-Martinsburg
134758,Hammond
152940,Hanford-Corcoran
577941,Harrisburg-Carlisle
134964,Harrisonburg
1204877,Hartford-East Hartford-Middletown
168849,Hattiesburg
369711,Hickory-Lenoir-Morganton
222195,Hilton Head Island-Bluffton
80994,Hinesville
149657,Homosassa Springs
99386,Hot Springs
208075,Houma-Thibodaux
7066141,Houston-The Woodlands-Sugar Land
355873,Huntington-Ashland
471824,Huntsville
151530,Idaho Falls
2074537,Indianapolis-Carmel-Anderson
173105,Iowa City
102180,Ithaca
158510,Jackson
594806,Jackson
178644,Jackson
1559514,Jacksonville
197938,Jacksonville
163354,Janesville-Beloit
151235,Jefferson City
203649,Johnson City
130192,Johnstown
133860,Jonesboro
179564,Joplin
167417,Kahului-Wailuku-Lahaina
265066,Kalamazoo-Portage
109862,Kankakee
2157990,Kansas City
299612,Kennewick-Richland
460303,Killeen-Temple
307202,Kingsport-Bristol
177573,Kingston
869046,Knoxville
82544,Kokomo
136616,La Crosse-Onalaska
489207,Lafayette
233002,Lafayette-West Lafayette
210409,Lake Charles
212181,Lake Havasu City-Kingman
724777,Lakeland-Winter Haven
545724,Lancaster
550391,Lansing-East Lansing
276652,Laredo
218195,Las Cruces
2266715,Las Vegas-Henderson-Paradise
122259,Lawrence
126415,Lawton
141793,Lebanon
62990,Lewiston
108277,Lewiston-Auburn
517056,Lexington-Fayette
102351,Lima
336374,Lincoln
742384,Little Rock-North Little Rock-Conway
142165,Logan
286657,Longview
110593,Longview
13214799,Los Angeles-Long Beach-Anaheim
1265108,Louisville/Jefferson County
322257,Lubbock
263566,Lynchburg
229996,Macon-Bibb County
157327,Madera
664865,Madison
417025,Manchester-Nashua
130285,Manhattan
101927,Mankato
121154,Mansfield
94975,Mayagüez
868707,McAllen-Edinburg-Mission
220944,Medford
1346045,Memphis
277680,Merced
6166488,Miami-Fort Lauderdale-Pompano Beach
109888,Michigan City-La Porte
83156,Midland
182603,Midland
1575179,Milwaukee-Waukesha
3640043,Minneapolis-St. Paul-Bloomington
119600,Missoula
429536,Mobile
550660,Modesto
200261,Monroe
150500,Monroe
373290,Montgomery
139044,Morgantown
142749,Morristown
129205,Mount Vernon-Anacortes
114135,Muncie
173566,Muskegon
496901,Myrtle Beach-Conway-North Myrtle Beach
137744,Napa
384902,Naples-Marco Island
1934317,Nashville-Davidson--Murfreesboro--Franklin
124284,New Bern
854757,New Haven-Milford
1270530,New Orleans-Metairie
19216182,New York-Newark-Jersey City
153401,Niles
836995,North Port-Sarasota-Bradenton
265206,Norwich-New London
365579,Ocala
92039,Ocean City
166223,Odessa
683864,Ogden-Clearfield
1408950,Oklahoma City
290536,Olympia-Lacey-Tumwater
949442,Omaha-Council Bluffs
2608147,Orlando-Kissimmee-Sanford
171907,Oshkosh-Neenah
119440,Owensboro
846006,Oxnard-Thousand Oaks-Ventura
601942,Palm Bay-Melbourne-Titusville
174705,Panama City
89339,Parkersburg-Vienna
502629,Pensacola-Ferry Pass-Brent
400561,Peoria
6102434,Philadelphia-Camden-Wilmington
4948203,Phoenix-Mesa-Chandler
87804,Pine Bluff
2317600,Pittsburgh
124944,Pittsfield
95489,Pocatello
215295,Ponce
538500,Portland-South Portland
2492412,Portland-Vancouver-Hillsboro
489297,Port St. Lucie
679158,Poughkeepsie-Newburgh-Middletown
235099,Prescott Valley-Prescott
1624578,Providence-Warwick
648252,Provo-Orem
168424,Pueblo
188910,Punta Gorda
196311,Racine
1390785,Raleigh-Cary
142107,Rapid City
421164,Reading
180080,Redding
475642,Reno
1291900,Richmond
4650631,Riverside-San Bernardino-Ontario
313222,Roanoke
221921,Rochester
1069644,Rochester
336116,Rockford
145770,Rocky Mount
98498,Rome
2363730,Sacramento-Roseville-Folsom
190539,Saginaw
201964,St. Cloud
177556,St. George
125223,St. Joseph
2803228,St. Louis
433903,Salem
434061,Salinas
415726,Salisbury
1232696,Salt Lake City
122027,San Angelo
2550960,San Antonio-New Braunfels
3338330,San Diego-Chula Vista-Carlsbad
4731803,San Francisco-Oakland-Berkeley
121464,San Germán
1990660,San Jose-Sunnyvale-Santa Clara
2023227,San Juan-Bayamón-Caguas
283111,San Luis Obispo-Paso Robles
273213,Santa Cruz-Watsonville
150358,Santa Fe
446499,Santa Maria-Santa Barbara
494336,Santa Rosa-Petaluma
393353,Savannah
553885,Scranton--Wilkes-Barre
3979845,Seattle-Tacoma-Bellevue
159923,Sebastian-Vero Beach
106221,Sebring-Avon Park
115340,Sheboygan
136212,Sherman-Denison
394706,Shreveport-Bossier City
125922,Sierra Vista-Douglas
144701,Sioux City
268232,Sioux Falls
323613,South Bend-Mishawaka
319785,Spartanburg
568521,Spokane-Spokane Valley
206868,Springfield
697382,Springfield
470300,Springfield
134083,Springfield
162385,State College
123120,Staunton
762148,Stockton
140466,Sumter
648593,Syracuse
387227,Tallahassee
3194831,Tampa-St. Petersburg-Clearwater
186367,Terre Haute
148761,Texarkana
132420,The Villages
641816,Toledo
231969,Topeka
367430,Trenton-Princeton
1047279,Tucson
998626,Tulsa
252047,Tuscaloosa
111290,Twin Falls
232751,Tyler
974563,Urban Honolulu
289990,Utica-Rome
147292,Valdosta
447643,Vallejo
99742,Victoria
149527,Vineland-Bridgeton
1768901,Virginia Beach-Norfolk-Newport News
466195,Visalia
273920,Waco
60760,Walla Walla
185409,Warner Robins
6280487,Washington-Arlington-Alexandria
168522,Waterloo-Cedar Falls
109834,Watertown-Fort Drum
163285,Wausau-Weston
116074,Weirton-Steubenville
120629,Wenatchee
138948,Wheeling
640218,Wichita
151254,Wichita Falls
113299,Williamsport
297533,Wilmington
140566,Winchester
676008,Winston-Salem
947404,Worcester
250873,Yakima
85830,Yauco
449058,York-Hanover
536081,Youngstown-Warren-Boardman
175639,Yuba City
213787,Yuma
